dcm_file,patient-id,study_instance_uid,study_date,series_instance_uid
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-205.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-134.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-164.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-071.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-077.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-124.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-269.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-110.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-140.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
/radraid/swelland/images/DRO-Toolkit/Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0/10-09-2009-NA-NA-66872/6.000000-NA-41922/1-223.dcm,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,20091009,1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922
